Topic,Characteristic,Note,Total,
Other language(s) used regularly at work,"Total - Other language(s) used regularly at work for the population in private households aged 15 years and over who worked since January 1, 2020 - 25% sample data",197,407720,
Other language(s) used regularly at work,  None,,382635,
Other language(s) used regularly at work,  English,,4345,
Other language(s) used regularly at work,  French,,4090,
Other language(s) used regularly at work,  Non-official language,,13100,
Other language(s) used regularly at work,    Indigenous,39,0,
Other language(s) used regularly at work,    Non-Indigenous,,13100,
Other language(s) used regularly at work,  English and French,,10,
Other language(s) used regularly at work,  English and non-official language(s),,475,
Other language(s) used regularly at work,  French and non-official language(s),,465,
Other language(s) used regularly at work,"  English, French and non-official language(s)",,10,
Other language(s) used regularly at work,  Multiple non-official languages,,2590,
Place of work status,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,198,331995,
Place of work status,  Worked at home,,111685,
Place of work status,  Worked outside Canada,,1970,
Place of work status,  No fixed workplace address,,37480,
Place of work status,  Usual place of work,,180870,
Commuting destination,Total - Commuting destination for the employed labour force aged 15 years and over with a usual place of work - 25% sample data,199,180870,
Commuting destination,  Commute within census subdivision (CSD) of residence,,106490,
Commuting destination,  Commute to a different census subdivision (CSD) within census division (CD) of residence,,13235,
Commuting destination,  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence,,60820,
Commuting destination,  Commute to a different province or territory,,325,
Main mode of commuting,Total - Main mode of commuting for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,200,218345,
Main mode of commuting,"  Car, truck or van",,180545,
Main mode of commuting,"    Car, truck or van - as a driver",,162185,
Main mode of commuting,"    Car, truck or van - as a passenger",,18365,
Main mode of commuting,  Public transit,,24890,
Main mode of commuting,  Walked,,6350,
Main mode of commuting,  Bicycle,,715,
Main mode of commuting,  Other method,,5845,
Commuting duration,Total - Commuting duration for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,201,218345,
Commuting duration,  Less than 15 minutes,,41835,
Commuting duration,  15 to 29 minutes,,83990,
Commuting duration,  30 to 44 minutes,,53060,
Commuting duration,  45 to 59 minutes,,18620,
Commuting duration,  60 minutes and over,,20845,
Time leaving for work,Total - Time leaving for work for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,202,218345,
